competitor.id,competitor.sum_points,competitor.place,competitor.place_prev,competitor.id_person,competitor.family_name,competitor.given_name,competitor.gender,competitor.timestamp_version,competitor.id_country,competitor.id_weight
37977_79_10,526,65,65.0,37977,MUCUNGUI,Diassonema,female,v1613487761,79,10
25315_113_6,506,65,66.0,25315,YAMAMOTO,Daryl,male,v1650891332,113,6
61073_49_11,500,65,65.0,61073,CARDOSO,Kaillany,female,v1583152214,49,11
47771_15_9,490,65,65.0,47771,JANG,Seyun,female,v1534159431,15,9
19939_3_8,454,65,65.0,19939,PETIT,Lois,female,v1663939457,3,8
38579_78_12,430,65,66.0,38579,SONKO,Khadija,female,v1619429407,78,12
50876_6_7,411,65,66.0,50876,DEMETRASHVILI,Irakli,male,v1624612662,6,7
40342_93_14,366,65,65.0,40342,MARTINEZ,Priscila,female,v1631307290,93,14
20255_6_13,286,65,65.0,20255,TCHANTURIA,Mariam,female,v1611734917,6,13
23180_266_2,655,66,68.0,23180,BORS DUMITRESCU,Lucian,male,v1636379065,266,2
2404_155_3,620,66,68.0,2404,TATALASHVILI,Nugzari,male,v1554368396,155,3
21107_10_4,605,66,68.0,21107,KOC,Muhammed,male,v1558178549,10,4
13525_39_5,589,66,69.0,13525,KUUSIK,Mattias,male,v1608553043,39,5
27218_4_1,535,66,67.0,27218,VERGNES,Richard,male,v1560425054,4,1
12678_26_10,520,66,66.0,12678,SMYTHE-DAVIS,Nekoda,female,v1666459593,26,10
65425_13_11,500,66,66.0,65425,TERADA,Utana,female,v1641816104,13,11
69035_13_6,490,66,67.0,69035,NAKANO,Tomohiro,male,v1652358837,13,6
30338_29_9,489,66,66.0,30338,DIMITROVA,Gabriela,female,v1633518668,29,9
20882_14_8,436,66,66.0,20882,TYNBAYEVA,Galiya,female,v1659998942,14,8
29690_29_12,426,66,67.0,29690,BRANCHEVA,Lidia,female,v1577212278,29,12
28250_61_7,390,66,67.0,28250,ERDENEKHUU,Munkhjargal,male,v1559748039,61,7
40819_61_14,360,66,66.0,40819,DAMBADARJAA,Nominzul,female,v1559746950,61,14
19305_28_13,281,66,66.0,19305,VAN HARSELAAR,Renee,female,v1618573607,28,13
37409_26_2,635,67,70.0,37409,FRYER,Michael,male,v1545503507,26,2
43510_84_3,613,67,69.0,43510,SAGYNALIEV,Chyngyzkhan,male,v1666272593,84,3
26103_53_4,600,67,69.0,26103,ABDELGHANY,Abdelrahman,male,v1648562224,53,4
10038_15_5,581,67,70.0,10038,GWAK,Donghan,male,v1548941632,15,5
17417_97_1,532,67,68.0,17417,ROJAS,Johan,male,v1526301530,97,1
42364_15_10,510,67,67.0,42364,PARK,Eunsong,female,v1642064157,15,10
22915_14_11,488,67,67.0,22915,NARYNOVA,Moldir,female,v1568379664,14,11
565_42_6,485,67,68.0,565,BORODAVKO,Jevgenijs,male,v1642508527,42,6
1593_25_9,472,67,67.0,1593,PERENC,Agata,female,v1651663889,25,9
34240_60_8,427,67,67.0,34240,EDDINARI,Chaimae,female,v1616841573,60,8
42739_193_12,422,67,68.0,42739,BOCK,Samira,female,v1645607190,193,12
31712_9_7,373,67,57.0,31712,BALYEVSKYY,Yevheniy,male,v1634233105,9,7
38355_177_14,357,67,67.0,38355,RAMIANDRISOA,Haingoniaina Durianah,female,v1608413322,177,14
29647_193_13,273,67,68.0,29647,IGL,Raffaela,female,v1643201357,193,13
6978_8_2,626,68,71.0,6978,SHIKHALIZADA,Nijat,male,v1644049614,8,2
8601_53_3,607,68,70.0,8601,ABDELMOUATY,Ali,male,v1648562050,53,3
17102_49_4,590,68,71.0,17102,SANTOS,Eduardo Yudy,male,v1628009353,49,4
